Geography,Population Estimate (as of July 1) - 2015
"Rains County, Texas",11161
"Randall County, Texas",130269
"Reagan County, Texas",3792
"Real County, Texas",3307
"Red River County, Texas",12455
"Reeves County, Texas",14732
"Refugio County, Texas",7289
"Roberts County, Texas",916
"Robertson County, Texas",16659
"Rockwall County, Texas",90861
"Runnels County, Texas",10551
"Rusk County, Texas",53070
"Sabine County, Texas",10368
"San Augustine County, Texas",8473
"San Jacinto County, Texas",27413
"San Patricio County, Texas",67357
"San Saba County, Texas",5901
"Schleicher County, Texas",3211
"Scurry County, Texas",17615
"Shackelford County, Texas",3350
"Shelby County, Texas",25402
"Sherman County, Texas",3072
"Smith County, Texas",222936
"Somervell County, Texas",8739
"Starr County, Texas",63795
"Stephens County, Texas",9440
"Sterling County, Texas",1352
"Stonewall County, Texas",1410
"Sutton County, Texas",3913
"Swisher County, Texas",7533
"Tarrant County, Texas",1982498
"Taylor County, Texas",136051
"Terrell County, Texas",837
"Terry County, Texas",12739
"Throckmorton County, Texas",1579
"Titus County, Texas",32623
"Tom Green County, Texas",118105
"Travis County, Texas",1176558
"Trinity County, Texas",14402
"Tyler County, Texas",21347
"Upshur County, Texas",40603
"Upton County, Texas",3651
"Uvalde County, Texas",27245
"Val Verde County, Texas",48988
"Van Zandt County, Texas",53547
"Victoria County, Texas",92382
"Walker County, Texas",70699
"Waller County, Texas",48656
"Ward County, Texas",11721
"Washington County, Texas",34765
"Webb County, Texas",269721
"Wharton County, Texas",41486
"Wheeler County, Texas",5657
"Wichita County, Texas",131705
"Wilbarger County, Texas",13027
"Willacy County, Texas",21903
"Williamson County, Texas",508514
"Wilson County, Texas",47520
"Winkler County, Texas",8005
"Wise County, Texas",62953
"Wood County, Texas",43356
"Yoakum County, Texas",8546
"Young County, Texas",18270
"Zapata County, Texas",14374
"Zavala County, Texas",12235
"Beaver County, Utah",6354
"Box Elder County, Utah",52097
"Cache County, Utah",120783
"Carbon County, Utah",20479
"Daggett County, Utah",1109
"Davis County, Utah",336043
"Duchesne County, Utah",20862
"Emery County, Utah",10370
"Garfield County, Utah",5009
"Grand County, Utah",9516
"Iron County, Utah",48368
"Juab County, Utah",10594
"Kane County, Utah",7131
"Millard County, Utah",12645
"Morgan County, Utah",11065
"Piute County, Utah",1517
"Rich County, Utah",2311
"Salt Lake County, Utah",1107314
"San Juan County, Utah",15772
"Sanpete County, Utah",28778
"Sevier County, Utah",20984
"Summit County, Utah",39633
"Tooele County, Utah",62952
"Uintah County, Utah",37928
"Utah County, Utah",575205
"Wasatch County, Utah",29161
"Washington County, Utah",155602
"Wayne County, Utah",2692
"Weber County, Utah",243645
"Addison County, Vermont",37035
"Bennington County, Vermont",36317
"Caledonia County, Vermont",30780
"Chittenden County, Vermont",161382
"Essex County, Vermont",6163
"Franklin County, Vermont",48799
"Grand Isle County, Vermont",6861
"Lamoille County, Vermont",25235
"Orange County, Vermont",28899
"Orleans County, Vermont",27100
"Rutland County, Vermont",59736
"Washington County, Vermont",58612
"Windham County, Vermont",43386
"Windsor County, Vermont",55737
"Accomack County, Virginia",32973
"Albemarle County, Virginia",105703
"Alleghany County, Virginia",15677
"Amelia County, Virginia",12903
"Amherst County, Virginia",31914
"Appomattox County, Virginia",15414
"Arlington County, Virginia",229164
"Augusta County, Virginia",74314
"Bath County, Virginia",4470
"Bedford County, Virginia",77724
"Bland County, Virginia",6561
"Botetourt County, Virginia",33347
"Brunswick County, Virginia",16698
"Buchanan County, Virginia",22776
"Buckingham County, Virginia",17032
"Campbell County, Virginia",55086
"Caroline County, Virginia",29984
"Carroll County, Virginia",29724
"Charles City County, Virginia",7040
"Charlotte County, Virginia",12201
"Chesterfield County, Virginia",335687
"Clarke County, Virginia",14363
"Craig County, Virginia",5211
"Culpeper County, Virginia",49432
"Cumberland County, Virginia",9719
"Dickenson County, Virginia",15115
"Dinwiddie County, Virginia",27852
"Essex County, Virginia",11130
"Fairfax County, Virginia",1142234
"Fauquier County, Virginia",68782
"Floyd County, Virginia",15651
"Fluvanna County, Virginia",26235
"Franklin County, Virginia",56264
"Frederick County, Virginia",83199
"Giles County, Virginia",16708
"Gloucester County, Virginia",37143
"Goochland County, Virginia",22253
"Grayson County, Virginia",16012
"Greene County, Virginia",19162
"Greensville County, Virginia",11885
"Halifax County, Virginia",35125
"Hanover County, Virginia",103227
"Henrico County, Virginia",325155
"Henry County, Virginia",51881
"Highland County, Virginia",2214
"Isle of Wight County, Virginia",36314
"James City County, Virginia",73147
"King and Queen County, Virginia",7158
"King George County, Virginia",25515
"King William County, Virginia",16269
"Lancaster County, Virginia",10965
"Lee County, Virginia",24742
"Loudoun County, Virginia",375629
"Louisa County, Virginia",34602
"Lunenburg County, Virginia",12299
"Madison County, Virginia",13134
"Mathews County, Virginia",8862
"Mecklenburg County, Virginia",31081
"Middlesex County, Virginia",10606
"Montgomery County, Virginia",97653
"Nelson County, Virginia",14785
"New Kent County, Virginia",20392
"Northampton County, Virginia",12155
"Northumberland County, Virginia",12232
"Nottoway County, Virginia",15673
"Orange County, Virginia",35385
"Page County, Virginia",23726
"Patrick County, Virginia",18045
"Pittsylvania County, Virginia",62194
"Powhatan County, Virginia",28031
"Prince Edward County, Virginia",22952
"Prince George County, Virginia",37862
"Prince William County, Virginia",451721
"Pulaski County, Virginia",34332
"Rappahannock County, Virginia",7378
"Richmond County, Virginia",8908
"Roanoke County, Virginia",94409
"Rockbridge County, Virginia",22354
"Rockingham County, Virginia",78593
"Russell County, Virginia",27891
"Scott County, Virginia",22126
"Shenandoah County, Virginia",43190
"Smyth County, Virginia",31470
"Southampton County, Virginia",18109
"Spotsylvania County, Virginia",130475
"Stafford County, Virginia",142003
"Surry County, Virginia",6709
"Sussex County, Virginia",11715
"Tazewell County, Virginia",42899
"Warren County, Virginia",39083
"Washington County, Virginia",54591
"Westmoreland County, Virginia",17629
"Wise County, Virginia",39718
"Wythe County, Virginia",29119
"York County, Virginia",67837
"Alexandria city, Virginia",153511
"Bristol city, Virginia",17141
"Buena Vista city, Virginia",6618
"Charlottesville city, Virginia",46597
"Chesapeake city, Virginia",235429
"Colonial Heights city, Virginia",17820
"Covington city, Virginia",5658
"Danville city, Virginia",42082
"Emporia city, Virginia",5496
"Fairfax city, Virginia",24013
"Falls Church city, Virginia",13892
"Franklin city, Virginia",8490
"Fredericksburg city, Virginia",28118
"Galax city, Virginia",6914
"Hampton city, Virginia",136454
"Harrisonburg city, Virginia",52538
"Hopewell city, Virginia",22378
"Lexington city, Virginia",7262
"Lynchburg city, Virginia",79812
"Manassas city, Virginia",41764
"Manassas Park city, Virginia",15726
"Martinsville city, Virginia",13645
"Newport News city, Virginia",182385
"Norfolk city, Virginia",246393
"Norton city, Virginia",3939
"Petersburg city, Virginia",32477
"Poquoson city, Virginia",12059
"Portsmouth city, Virginia",96201
"Radford city, Virginia",17403
"Richmond city, Virginia",220289
"Roanoke city, Virginia",99897
"Salem city, Virginia",25432
"Staunton city, Virginia",24416
"Suffolk city, Virginia",88161
"Virginia Beach city, Virginia",452745
"Waynesboro city, Virginia",21491
"Williamsburg city, Virginia",15052
"Winchester city, Virginia",27284
"Adams County, Washington",19254
"Asotin County, Washington",22105
"Benton County, Washington",190309
"Chelan County, Washington",75644
"Clallam County, Washington",73486
"Clark County, Washington",459495
"Columbia County, Washington",3944
"Cowlitz County, Washington",103468
"Douglas County, Washington",40534
"Ferry County, Washington",7582
"Franklin County, Washington",88807
"Garfield County, Washington",2219
"Grant County, Washington",93259
"Grays Harbor County, Washington",71122
"Island County, Washington",80593
"Jefferson County, Washington",30466
"King County, Washington",2117125
"Kitsap County, Washington",260131
"Kittitas County, Washington",43269
"Klickitat County, Washington",21026
"Lewis County, Washington",75882
"Lincoln County, Washington",10321
"Mason County, Washington",61023
"Okanogan County, Washington",41516
"Pacific County, Washington",20848
"Pend Oreille County, Washington",13088
"Pierce County, Washington",843954
"San Juan County, Washington",16252
"Skagit County, Washington",121846
"Skamania County, Washington",11339
"Snohomish County, Washington",772501
"Spokane County, Washington",490945
"Stevens County, Washington",43791
"Thurston County, Washington",269536
"Wahkiakum County, Washington",4042
"Walla Walla County, Washington",60338
"Whatcom County, Washington",212284
"Whitman County, Washington",48177
"Yakima County, Washington",248830
"Barbour County, West Virginia",16704
"Berkeley County, West Virginia",111901
"Boone County, West Virginia",23372
"Braxton County, West Virginia",14415
"Brooke County, West Virginia",23350
"Cabell County, West Virginia",96844
"Calhoun County, West Virginia",7470
"Clay County, West Virginia",8910
"Doddridge County, West Virginia",8176
"Fayette County, West Virginia",44997
"Gilmer County, West Virginia",8518
"Grant County, West Virginia",11766
"Greenbrier County, West Virginia",35516
"Hampshire County, West Virginia",23353
"Hancock County, West Virginia",29815
"Hardy County, West Virginia",13852
"Harrison County, West Virginia",68714
"Jackson County, West Virginia",29237
"Jefferson County, West Virginia",56482
"Kanawha County, West Virginia",188332
"Lewis County, West Virginia",16448
"Lincoln County, West Virginia",21415
"Logan County, West Virginia",34707
"McDowell County, West Virginia",19835
"Marion County, West Virginia",56925
"Marshall County, West Virginia",31978
"Mason County, West Virginia",27037
"Mercer County, West Virginia",61164
"Mineral County, West Virginia",27451
"Mingo County, West Virginia",25292
"Monongalia County, West Virginia",104236
"Monroe County, West Virginia",13506
"Morgan County, West Virginia",17524
"Nicholas County, West Virginia",25594
"Ohio County, West Virginia",43066
"Pendleton County, West Virginia",7229
"Pleasants County, West Virginia",7674
"Pocahontas County, West Virginia",8607
"Preston County, West Virginia",33940
"Putnam County, West Virginia",56848
"Raleigh County, West Virginia",77510
"Randolph County, West Virginia",29126
"Ritchie County, West Virginia",9982
"Roane County, West Virginia",14435
"Summers County, West Virginia",13239
"Taylor County, West Virginia",16912
"Tucker County, West Virginia",6966
"Tyler County, West Virginia",8975
"Upshur County, West Virginia",24758
"Wayne County, West Virginia",40971
"Webster County, West Virginia",8755
"Wetzel County, West Virginia",15816
"Wirt County, West Virginia",5880
"Wood County, West Virginia",86452
"Wyoming County, West Virginia",22151
"Adams County, Wisconsin",20148
"Ashland County, Wisconsin",15843
"Barron County, Wisconsin",45563
"Bayfield County, Wisconsin",14977
"Brown County, Wisconsin",258718
"Buffalo County, Wisconsin",13192
"Burnett County, Wisconsin",15159
"Calumet County, Wisconsin",49762
"Chippewa County, Wisconsin",63531
"Clark County, Wisconsin",34445
"Columbia County, Wisconsin",56743
"Crawford County, Wisconsin",16391
"Dane County, Wisconsin",523643
"Dodge County, Wisconsin",88502
"Door County, Wisconsin",27554
"Douglas County, Wisconsin",43601
"Dunn County, Wisconsin",44497
"Eau Claire County, Wisconsin",102105
"Florence County, Wisconsin",4464
"Fond du Lac County, Wisconsin",101973
"Forest County, Wisconsin",9057
"Grant County, Wisconsin",52250
"Green County, Wisconsin",37186
"Green Lake County, Wisconsin",18856
"Iowa County, Wisconsin",23813
"Iron County, Wisconsin",5794
"Jackson County, Wisconsin",20554
"Jefferson County, Wisconsin",84559
"Juneau County, Wisconsin",26224
"Kenosha County, Wisconsin",168437
"Kewaunee County, Wisconsin",20366
"La Crosse County, Wisconsin",118212
"Lafayette County, Wisconsin",16829
"Langlade County, Wisconsin",19223
"Lincoln County, Wisconsin",27980
"Manitowoc County, Wisconsin",79806
"Marathon County, Wisconsin",135868
"Marinette County, Wisconsin",40884
"Marquette County, Wisconsin",15075
"Menominee County, Wisconsin",4573
"Milwaukee County, Wisconsin",957735
"Monroe County, Wisconsin",45549
"Oconto County, Wisconsin",37435
"Oneida County, Wisconsin",35567
"Outagamie County, Wisconsin",183245
"Ozaukee County, Wisconsin",87850
"Pepin County, Wisconsin",7290
"Pierce County, Wisconsin",40889
"Polk County, Wisconsin",43441
"Portage County, Wisconsin",70408
"Price County, Wisconsin",13645
"Racine County, Wisconsin",195080
"Richland County, Wisconsin",17495
"Rock County, Wisconsin",161448
"Rusk County, Wisconsin",14124
"St. Croix County, Wisconsin",87513
"Sauk County, Wisconsin",63642
"Sawyer County, Wisconsin",16376
"Shawano County, Wisconsin",41304
"Sheboygan County, Wisconsin",115569
"Taylor County, Wisconsin",20455
"Trempealeau County, Wisconsin",29550
"Vernon County, Wisconsin",30506
"Vilas County, Wisconsin",21387
"Walworth County, Wisconsin",102804
"Washburn County, Wisconsin",15552
"Washington County, Wisconsin",133674
"Waukesha County, Wisconsin",396488
"Waupaca County, Wisconsin",51945
"Waushara County, Wisconsin",24033
"Winnebago County, Wisconsin",169546
"Wood County, Wisconsin",73435
"Albany County, Wyoming",37956
"Big Horn County, Wyoming",12022
"Campbell County, Wyoming",49220
"Carbon County, Wyoming",15559
"Converse County, Wyoming",14236
"Crook County, Wyoming",7444
"Fremont County, Wyoming",40315
"Goshen County, Wyoming",13383
"Hot Springs County, Wyoming",4741
"Johnson County, Wyoming",8585
"Laramie County, Wyoming",97121
"Lincoln County, Wyoming",18722
"Natrona County, Wyoming",82178
"Niobrara County, Wyoming",2542
"Park County, Wyoming",29228
"Platte County, Wyoming",8812
"Sheridan County, Wyoming",30009
"Sublette County, Wyoming",9899
"Sweetwater County, Wyoming",44626
"Teton County, Wyoming",23125
"Uinta County, Wyoming",20822
"Washakie County, Wyoming",8328
"Weston County, Wyoming",7234
"Adjuntas Municipio, Puerto Rico",18579
"Aguada Municipio, Puerto Rico",39530
"Aguadilla Municipio, Puerto Rico",55804
"Aguas Buenas Municipio, Puerto Rico",26915
"Aibonito Municipio, Puerto Rico",24040
"Añasco Municipio, Puerto Rico",27989
"Arecibo Municipio, Puerto Rico",89648
"Arroyo Municipio, Puerto Rico",18546
"Barceloneta Municipio, Puerto Rico",24650
"Barranquitas Municipio, Puerto Rico",29323
"Bayamón Municipio, Puerto Rico",189159
"Cabo Rojo Municipio, Puerto Rico",49762
"Caguas Municipio, Puerto Rico",134481
"Camuy Municipio, Puerto Rico",32995
"Canóvanas Municipio, Puerto Rico",46972
"Carolina Municipio, Puerto Rico",161884
"Cataño Municipio, Puerto Rico",25641
"Cayey Municipio, Puerto Rico",45490
"Ceiba Municipio, Puerto Rico",12218
"Ciales Municipio, Puerto Rico",17349
"Cidra Municipio, Puerto Rico",41225
"Coamo Municipio, Puerto Rico",39862
"Comerío Municipio, Puerto Rico",19983
"Corozal Municipio, Puerto Rico",35037
"Culebra Municipio, Puerto Rico",1806
"Dorado Municipio, Puerto Rico",37878
"Fajardo Municipio, Puerto Rico",33102
"Florida Municipio, Puerto Rico",12188
"Guánica Municipio, Puerto Rico",17386
"Guayama Municipio, Puerto Rico",42721
"Guayanilla Municipio, Puerto Rico",19604
"Guaynabo Municipio, Puerto Rico",90879
"Gurabo Municipio, Puerto Rico",47265
"Hatillo Municipio, Puerto Rico",41047
"Hormigueros Municipio, Puerto Rico",16478
"Humacao Municipio, Puerto Rico",54827
"Isabela Municipio, Puerto Rico",43398
"Jayuya Municipio, Puerto Rico",15328
"Juana Díaz Municipio, Puerto Rico",48060
"Juncos Municipio, Puerto Rico",39754
"Lajas Municipio, Puerto Rico",23935
"Lares Municipio, Puerto Rico",27372
"Las Marías Municipio, Puerto Rico",8881
"Las Piedras Municipio, Puerto Rico",38290
"Loíza Municipio, Puerto Rico",27251
"Luquillo Municipio, Puerto Rico",19004
"Manatí Municipio, Puerto Rico",40700
"Maricao Municipio, Puerto Rico",5903
"Maunabo Municipio, Puerto Rico",11315
"Mayagüez Municipio, Puerto Rico",79510
"Moca Municipio, Puerto Rico",37746
"Morovis Municipio, Puerto Rico",31866
"Naguabo Municipio, Puerto Rico",26632
"Naranjito Municipio, Puerto Rico",29181
"Orocovis Municipio, Puerto Rico",21957
"Patillas Municipio, Puerto Rico",17819
"Peñuelas Municipio, Puerto Rico",21731
"Ponce Municipio, Puerto Rico",149028
"Quebradillas Municipio, Puerto Rico",24605
"Rincón Municipio, Puerto Rico",14551
"Río Grande Municipio, Puerto Rico",51725
"Sabana Grande Municipio, Puerto Rico",23555
"Salinas Municipio, Puerto Rico",29351
"San Germán Municipio, Puerto Rico",32976
"San Juan Municipio, Puerto Rico",355074
"San Lorenzo Municipio, Puerto Rico",38721
"San Sebastián Municipio, Puerto Rico",39007
"Santa Isabel Municipio, Puerto Rico",22517
"Toa Alta Municipio, Puerto Rico",74368
"Toa Baja Municipio, Puerto Rico",82065
"Trujillo Alto Municipio, Puerto Rico",69615
"Utuado Municipio, Puerto Rico",30288
"Vega Alta Municipio, Puerto Rico",38640
"Vega Baja Municipio, Puerto Rico",54792
"Vieques Municipio, Puerto Rico",8950
"Villalba Municipio, Puerto Rico",23697
"Yabucoa Municipio, Puerto Rico",35082
"Yauco Municipio, Puerto Rico",37679
